Project Name,PLC Tag,Register PLC,Modbus Address,Name,Data Type,Description ,InitialValue
TLO,%AI0001,%R01001,400001,iCH01_POS,INT,CH01 Chute deployed position,6384
TLO,%AI0004,%R01002,400002,iLT002,INT,TLO Inbound Radar,6400
TLO,%AI0006,%R01003,400003,iLT003,INT,TLO Outbound Radar,0
TLO,%AI0009,%R01004,400004,iJOY_POSN,INT,,6408
TLO,%AQ0003,%R01005,400005,oGT01_OPN_SPD1,INT,GT01 Gate Open Solenoid 1 Speed Ref.,0
TLO,%AQ0004,%R01006,400006,oGT01_OPN_SPD2,INT,GT01 Gate Open Solenoid 2 Speed Ref.,0
TLO,%I00001,%R01007,400007,iRL_24V_HLTY,BOOL,Control Voltage OK,0
TLO,%I00002,%R01008,400008,iRL_WG_REAR3_1,BOOL,,1
TLO,%I00003,%R01009,400009,iRL_DRIVE_CTRL_HLTY,BOOL,Drive Voltage OK,1
TLO,%I00004,%R01010,400010,iRL_LC_ENTRY1,BOOL,RL Locomotive PE 1 -Entry Clear,1
TLO,%I00005,%R01011,400011,iRL_LC_EXIT1,BOOL,RL Locomotive detected PE 1- Exit,1
TLO,%I00006,%R01012,400012,iRL_WG_FRONT1,BOOL,RL Wagon front detected No. 1,1
TLO,%I00007,%R01013,400013,iRL_WG_FRONT2,BOOL,RL Wagon front detected No. 2,1
TLO,%I00008,%R01014,400014,iRL_WG_FRONT3,BOOL,RL Wagon front detected No. 3,1
TLO,%I00009,%R01015,400015,iXS006,BOOL,RL Wagon rear detected No. 1,1
TLO,%I00010,%R01016,400016,iXS007,BOOL,RL Wagon rear detected No. 2,1
TLO,%I00011,%R01017,400017,iXS008,BOOL,RL Wagon rear detected No. 3,1
TLO,%I00012,%R01018,400018,iRL_LC_EXIT3,BOOL,RL Locomotive detected PE 3- Exit,1
TLO,%I00013,%R01019,400019,iXS010,BOOL,Wagon Door Open Switch,0
TLO,%I00014,%R01020,400020,iXS011_XS012,BOOL,,0
TLO,%I00015,%R01021,400021,iGT01_CLSD1,BOOL,GT01 Gate leaf closed detected no. 1,1
TLO,%I00016,%R01022,400022,iGT01_OPND1,BOOL,GT01 Gate leaf open detected no. 1,0
TLO,%I00017,%R01023,400023,iGT01_CLSD2,BOOL,GT01 Gate leaf closed detected no. 2,1
TLO,%I00018,%R01024,400024,iGT01_OPND2,BOOL,GT01 Gate leaf open detected no. 2,0
TLO,%I00019,%R01025,400025,iCH01_LKD,BOOL,CH01 Chute lock engaged,0
TLO,%I00020,%R01026,400026,iRL_LC_ENTRY3,BOOL,RL Locomotive PE 3 -Entry Clear (PN),1
TLO,%I00021,%R01027,400027,iPK03_OIL_LVL_LOW,BOOL,RL Hyd Power pack low oil level detected,1
TLO,%I00022,%R01028,400028,iPK03_PR_HLTY,BOOL,RL Hyd Power pack oil press healthy,1
TLO,%I00023,%R01029,400029,iPK03_ACC1_PR_HLTHY,BOOL,RL Hyd Accumulator pressure healthy no.1,1
