Project Name,PLC Tag,Register PLC,Modbus Address,Name,Data Type,Description ,InitialValue
RLF,%AI0001,%R01001,400001,iCH01_POS,INT,CH01 Chute deployed position,21685
RLF,%AI0002,%R01002,400002,iRL_BIN_LVL,INT,Bin level,0
RLF,%AI0003,%R01003,400003,V_pr_AI0003,WORD,,0
RLF,%AI0004,%R01004,400004,iTLO_IN_RADAR,INT,TLO Inbound Radar,11850
RLF,%AI0005,%R01005,400005,iLT002,WORD,,19479
RLF,%AI0006,%R01006,400006,iLT003,WORD,,18773
RLF,%AI0007,%R01007,400007,V_pr_AI0007,WORD,,0
RLF,%AI0008,%R01008,400008,V_pr_AI0008,WORD,,0
RLF,%AI0009,%R01009,400009,iJOY_POSN,INT,,0
RLF,%AI0010,%R01010,400010,V_pr_AI0010,WORD,,0
RLF,%AI0011,%R01011,400011,V_pr_AI0011,WORD,,0
RLF,%AI0012,%R01012,400012,V_pr_AI0012,WORD,,0
RLF,%AI0013,%R01013,400013,V_pr_AI0013,WORD,,0
RLF,%AI0014,%R01014,400014,V_pr_AI0014,WORD,,0
RLF,%AI0015,%R01015,400015,V_pr_AI0015,WORD,,0
RLF,%AI0016,%R01016,400016,V_pr_AI0016,WORD,,0
RLF,%AQ0003,%R01017,400017,oGT01_OPN_SPD1,INT,GT01 Gate Open Solenoid 1 Speed Ref.,0
RLF,%AQ0004,%R01018,400018,oGT01_OPN_SPD2,INT,GT01 Gate Open Solenoid 2 Speed Ref.,0
RLF,%I00001,%R01019,400019,iRL_24V_HLTY,BOOL,Control Voltage OK,1
RLF,%I00002,%R01020,400020,iRL_WG_REAR3_1,BOOL,,1
RLF,%I00003,%R01021,400021,iRL_DRIVE_CTRL_HLTY,BOOL,Drive Voltage OK,1
RLF,%I00004,%R01022,400022,iRL_LC_ENTRY1,BOOL,RL Locomotive PE 1 -Entry Clear,1
RLF,%I00005,%R01023,400023,iRL_LC_EXIT1,BOOL,RL Locomotive detected PE 1- Exit,0
RLF,%I00006,%R01024,400024,iRL_WG_FRONT1,BOOL,RL Wagon front detected No. 1,0
RLF,%I00007,%R01025,400025,iRL_WG_FRONT2,BOOL,RL Wagon front detected No. 2,0
RLF,%I00008,%R01026,400026,iRL_WG_FRONT3,BOOL,RL Wagon front detected No. 3,0
RLF,%I00009,%R01027,400027,iRL_WG_REAR1,BOOL,RL Wagon rear detected No. 1,1
RLF,%I00010,%R01028,400028,iRL_WG_REAR2,BOOL,RL Wagon rear detected No. 2,1
RLF,%I00011,%R01029,400029,iRL_WG_REAR3,BOOL,RL Wagon rear detected No. 3,1
RLF,%I00012,%R01030,400030,iRL_LC_EXIT3,BOOL,RL Locomotive detected PE 3- Exit,0
RLF,%I00013,%R01031,400031,iRL_WG_OPN,BOOL,RL Wagon door open,1
RLF,%I00014,%R01032,400032,iRL_SPILL,BOOL,Spillage detected No.1 and No. 2,1
RLF,%I00015,%R01033,400033,iGT01_CLSD1,BOOL,GT01 Gate leaf closed detected no. 1,1
RLF,%I00016,%R01034,400034,iGT01_OPND1,BOOL,GT01 Gate leaf open detected no. 1,0
RLF,%I00017,%R01035,400035,iGT01_CLSD2,BOOL,GT01 Gate leaf closed detected no. 2,1
RLF,%I00018,%R01036,400036,iGT01_OPND2,BOOL,GT01 Gate leaf open detected no. 2,0
RLF,%I00019,%R01037,400037,iCH01_LKD,BOOL,CH01 Chute lock engaged,1
RLF,%I00020,%R01038,400038,iRL_LC_ENTRY3,BOOL,RL Locomotive PE 3 -Entry Clear (PN),1
RLF,%I00021,%R01039,400039,iPK03_OIL_LVL_LOW,BOOL,RL Hyd Power pack low oil level detected,1
RLF,%I00022,%R01040,400040,iPK03_PR_HLTY,BOOL,RL Hyd Power pack oil press healthy,1
RLF,%I00023,%R01041,400041,iPK03_ACC1_PR_HLTHY,BOOL,RL Hyd Accumulator pressure healthy no.1,1
RLF,%I00024,%R01042,400042,iPK03_ACC2_PR_HLTHY,BOOL,RL Hyd Accumulator pressure healthy no.2,1
RLF,%I00025,%R01043,400043,iRL_LCU_ESP,BOOL,Manual pendant emergency stop,1
RLF,%I00026,%R01044,400044,iGT01_LCU_OPN,BOOL,GT01 Manual pendant gate open,0
RLF,%I00027,%R01045,400045,iCH01_LCU_RSE,BOOL,CH01 Manual pendant chute lower,0
RLF,%I00028,%R01046,400046,iCH01_LCU_LWR,BOOL,CH01 Manual pendant chute lock release,0
RLF,%I00029,%R01047,400047,iCH01_LCU_UNLK,BOOL,CH01 Manual pendant Chute unlock,0
RLF,%I00030,%R01048,400048,iORD_LC_ENTRY1,BOOL,ORD Locomotive detected PE 1 - Entry,0
RLF,%I00031,%R01049,400049,iORD_LC_EXIT1,BOOL,ORD Locomotive detected PE 1 -Exit,0
RLF,%I00032,%R01050,400050,iORD_WG_FRONT,BOOL,ORD Wagon front detected,0
RLF,%I00033,%R01051,400051,iPL01_LWR1,BOOL,PL01 Plough lower position 1,0
RLF,%I00034,%R01052,400052,iPL01_LWR2,BOOL,PL01 Plough lower position 2,0
RLF,%I00035,%R01053,400053,iPL01_LWR3,BOOL,PL01 Plough lower position 3,0
RLF,%I00036,%R01054,400054,iPL01_LKD,BOOL,PL01 Plough lock engaged,1
RLF,%I00037,%R01055,400055,iCH02_EXTD1,BOOL,CH02 Chute extend position 1,0
RLF,%I00038,%R01056,400056,iCH02_EXTD2,BOOL,CH02 Chute extend position 2,0
RLF,%I00039,%R01057,400057,iCH02_EXTD3,BOOL,CH02 Chute extend position 3,0
RLF,%I00040,%R01058,400058,iCH02_RETD,BOOL,CH02 Chute retracted detected,1
RLF,%I00041,%R01059,400059,iPK04_OIL_LVL_LOW,BOOL,ORD Hyd Power pack low oil level detected,1
RLF,%I00042,%R01060,400060,iPK04_PR_HLTY,BOOL,ORD Hyd Power pack oil press healthy,0
RLF,%I00043,%R01061,400061,iPK04_ACC_PR_HLTHY,BOOL,ORD Hyd Accumulator pressure healthy,0
RLF,%I00044,%R01062,400062,iPK03_RDY,BOOL,RL Hyd Pump Ready,1
RLF,%I00045,%R01063,400063,iPK03_LCU_STR,BOOL,RL Hyd Pump Local Start,0
RLF,%I00046,%R01064,400064,iPK03_HLTY,BOOL,RL Hyd Pump MCC Healthy,1
RLF,%I00047,%R01065,400065,iPK03_CONT_CLD,BOOL,RL Hyd Pump Contactor Closed,1
RLF,%I00048,%R01066,400066,iPK04_RDY,BOOL,ORD Hyd Pump Ready,1
RLF,%I00049,%R01067,400067,iPK04_LCU_STR,BOOL,ORD Hyd Pump Local Start,0
RLF,%I00050,%R01068,400068,iPK04_HLTY,BOOL,ORD Hyd Pump MCC Healthy,1
RLF,%I00051,%R01069,400069,iPK04_CONT_CLD,BOOL,ORD Hyd Pump Contactor Closed,0
RLF,%I00052,%R01070,400070,iTSI_PLC_HLTY,BOOL,Momentum PLC Healthy,0
RLF,%I00053,%R01071,400071,iRL_DERAIL_DECT1,BOOL,Derailment detected No.1,1
RLF,%I00054,%R01072,400072,iRL_DERAIL_DECT2,BOOL,Derailment detected No.2,1
RLF,%I00055,%R01073,400073,iRL_LC_ENTRY2,BOOL,RL Locomotive PE 2 -Entry Clear,0
RLF,%I00056,%R01074,400074,iRL_LC_EXIT2,BOOL,RL Locomotive detected PE 2- Exit,0
RLF,%I00057,%R01075,400075,iORD_LC_ENTRY2,BOOL,ORD Locomotive detected PE 2 - Entry,0
RLF,%I00058,%R01076,400076,iORD_LC_EXIT2,BOOL,ORD Locomotive detected PE 2 -Exit,0
RLF,%I00059,%R01077,400077,iPL01_RSE,BOOL,,0
RLF,%I00060,%R01078,400078,iTLA_OL,BOOL,,0
RLF,%I00061,%R01079,400079,iRL_UPS_HLTY,BOOL,UPS Healthy,0
RLF,%I00062,%R01080,400080,iRL_UPS_FLT,BOOL,UPS Healthy,1
RLF,%I00063,%R01081,400081,iRL_UPS_BAT_FLT,BOOL,UPS Healthy,0
RLF,%I00064,%R01082,400082,iRL_UPS_BYPASS,BOOL,UPS Healthy,1
RLF,%I00129,%R01083,400083,V_pr_I00129,BOOL,,1
RLF,%I00130,%R01084,400084,V_pr_I00130,BOOL,,1
RLF,%I00138,%R01085,400085,V_pr_I00138,BOOL,,0
RLF,%I00139,%R01086,400086,V_pr_I00139,BOOL,,1
RLF,%I00140,%R01087,400087,V_pr_I00140,BOOL,,0
RLF,%I00142,%R01088,400088,V_pr_I00142,BOOL,,0
RLF,%I00144,%R01089,400089,V_pr_I00144,BOOL,,0
RLF,%I00145,%R01090,400090,V_pr_I00145,BOOL,,1
RLF,%I00146,%R01091,400091,V_pr_I00146,BOOL,,1
RLF,%I00153,%R01092,400092,V_pr_I00153,BOOL,Analog Output Ch1 Wire Broken,0
RLF,%I00154,%R01093,400093,V_pr_I00154,BOOL,,0
RLF,%I00155,%R01094,400094,V_pr_I00155,BOOL,,1
RLF,%I00156,%R01095,400095,V_pr_I00156,BOOL,,1
RLF,%I00161,%R01096,400096,V_pr_I00161,BOOL,,1
RLF,%I00162,%R01097,400097,V_pr_I00162,BOOL,,1
RLF,%I00163,%R01098,400098,V_pr_I00163,BOOL,,1
RLF,%I00164,%R01099,400099,V_pr_I00164,BOOL,,1
RLF,%I00165,%R01100,400100,V_pr_I00165,BOOL,,0
RLF,%I00168,%R01101,400101,V_pr_I00168,BOOL,,0
RLF,%I00173,%R01102,400102,V_pr_I00173,BOOL,,1
RLF,%I00176,%R01103,400103,V_pr_I00176,BOOL,,1
RLF,%I00241,%R01104,400104,iRL_TILT_SWITCH,BOOL,"CH01 Tilt switch, Input",1
RLF,%I00242,%R01105,400105,iRL_FAULT2_VNR,BOOL,Train Wagon Veneering Fault,0
RLF,%I00243,%R01106,400106,RL_SUB_FIREPANEL_INPUT,BOOL,RL Sub Fire Panel Alarm Input,0
RLF,%I00244,%R01107,400107,iGT01_LCU_JOY_CLS,BOOL,GT01 Manual Joystick Gate Close,0
RLF,%I00245,%R01108,400108,iGT01_LCU_JOY_OPN,BOOL,GT01 Manual Joystick Gate Open,0
RLF,%I00246,%R01109,400109,iPK03_ACC3_PR_HLTHY,BOOL,RL Hyd Accumulator pressure healthy no.3,1
RLF,%I00247,%R01110,400110,RL_FIRE_SUPPRESSION_DEPLETED,BOOL,RL PK03 Hyd Pack Fire Suppression Depleted Input,0
RLF,%I00248,%R01111,400111,iRL_LC_PANTOGRAPH,BOOL,Loco Pantograph Detect PE (1=CLEAR),1
RLF,%I00249,%R01112,400112,iXS052,BOOL,Wagon Near Chute 2,0
RLF,%I00250,%R01113,400113,iXS054,BOOL,Derailment Switch,0
RLF,%I00252,%R01114,400114,iXS050,BOOL,Wagon Past Gate Close,1
RLF,%I00253,%R01115,400115,iRL_FAULT_VNR,BOOL,Train Wagon Veneering Fault,0
RLF,%I00254,%R01116,400116,iXS051,BOOL,Wagon Near Chute 1,0
RLF,%I00255,%R01117,400117,iXS053,BOOL,Wagon Clear Chute,0
RLF,%I00256,%R01118,400118,iXS056,BOOL,Chute Breakaway Switch,0
RLF,%I01025,%R01119,400119,V_pr_I01025,BOOL,,0
RLF,%I01026,%R01120,400120,V_pr_I01026,BOOL,,0
RLF,%I01037,%R01121,400121,V_pr_I01037,BOOL,,0
RLF,%I01040,%R01122,400122,V_pr_I01040,BOOL,,1
RLF,%Q00001,%R01123,400123,oPK03_STRT_RLY,BOOL,RL Hyd Pump Start Relay,1
RLF,%Q00002,%R01124,400124,oPK04_STRT_RLY,BOOL,ORD Hyd Pump Start Relay,0
RLF,%Q00003,%R01125,400125,oRL_AMB_IND,BOOL,Signal lights -  Amber (RL),0
RLF,%Q00004,%R01126,400126,oRL_RED_IND,BOOL,Signal lights -  Red (RL),1
